ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5C0_np->Res,dphi^0,lndphi^0,1884.5952367675459,4.066385567261194
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^0,1883.477277880528,4.057075328406755
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^0,1896.466194145618,4.0759318055478255
CV->FO,0p5MuBF->Res,dphi^0,lndphi^0,1801.8112767150667,4.032258956133992
CV->FO,0p5MuCt->Res,dphi^0,lndphi^0,1883.7558485426446,4.056805420057415
CV->FO,0p5MuFac->Res,dphi^0,lndphi^0,1742.3933782131514,4.000686715910993
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^0,1864.0139055049203,3.066930801071809
CV->FO,0p5MuHard->Res,dphi^0,lndphi^0,1895.0141678136988,4.061152713486444
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^0,1855.5528715314097,4.045217226467416
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^0,1885.266154919722,4.0631146546842185
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^0,1882.923983016672,4.047175822319083
CV->FO,2C0_np->Res,dphi^0,lndphi^0,1883.4354337530108,4.048083973039257
CV->FO,2kappa_np->Res,dphi^0,lndphi^0,1884.428932692894,4.060137725020439
CV->FO,2MuBeam->Res,dphi^0,lndphi^0,1835.0390876319382,4.0400271449730845
CV->FO,2MuBF->Res,dphi^0,lndphi^0,1942.5887445790818,4.086864858550193
CV->FO,2MuCt->Res,dphi^0,lndphi^0,1883.8880999247344,4.055782682836191
CV->FO,2MuFac->Res,dphi^0,lndphi^0,1955.1179979336846,4.098232797675518
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^0,1902.735378425534,3.7985012934166353
CV->FO,2MuHard->Res,dphi^0,lndphi^0,1895.6409260573346,4.060971112379651
CV->FO,2MuSoft->Res,dphi^0,lndphi^0,1871.6945278670403,4.054701735941168
CV->FO,2NuBeam->Res,dphi^0,lndphi^0,1882.86522678904,4.0468562888924415
CV->FO,2NuSoft->Res,dphi^0,lndphi^0,1885.3811999404363,4.0632149435371225
0p5MuF->FO,CV->Res,dphi^0,lndphi^0,1835.945855576394,3.4768625026090967
0p5MuRF->FO,CV->Res,dphi^0,lndphi^0,1893.148703639421,7.679340407542067
0p5MuR->FO,CV->Res,dphi^0,lndphi^0,1946.208269924,3.2090188775579858
2MuF->FO,CV->Res,dphi^0,lndphi^0,1924.6927254416041,3.6116642594845927
2MuRF->FO,CV->Res,dphi^0,lndphi^0,1869.3115963426026,3.6850142972403512
2MuR->FO,CV->Res,dphi^0,lndphi^0,1830.7456813093295,3.6269319786475793
CV->FO,CV->Res,dphi^0,lndphi^0,1883.9274111601176,4.055330041028771
CV->FO,0p5C0_np->Res,dphi^0,lndphi^1,-3358.899096308553,12.321268693838535
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^1,-3344.6952711469444,12.304616389029826
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^1,-3371.311148953173,12.337439453529154
CV->FO,0p5MuBF->Res,dphi^0,lndphi^1,-3116.175534475392,12.26416260908396
CV->FO,0p5MuCt->Res,dphi^0,lndphi^1,-3348.5385283125606,12.305157780818597
CV->FO,0p5MuFac->Res,dphi^0,lndphi^1,-2977.015526400006,12.213226181717795
