"ScaleFO","ScaleRes","O1","O2","value","uncertainty"
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^0",2088.2874433559427,3.0591468489458125
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^0",2087.1214616691473,3.048638774273266
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^0",2049.4833107673485,3.04128136967322
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^0",2103.6347437090726,3.1118322871392876
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^0",2087.4977102004636,3.0477234733192646
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^0",2065.907890708458,3.0379408568400463
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^0",2085.9083166758473,2.358986771188149
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^0",2099.707701786372,3.0544355923128457
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^0",2085.0677262509616,3.0488080500586023
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^0",2087.6751511115694,3.0508356381282296
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^0",2087.8880227784,3.0436695993860536
"CV->FO","2C0_np->Res","dphi^0","lndphi^0",2087.1046369189407,3.037029772170009
"CV->FO","2kappa_np->Res","dphi^0","lndphi^0",2088.0748812788547,3.0520535689079455
"CV->FO","2MuBeam->Res","dphi^0","lndphi^0",2083.8848422489154,3.049875716223143
"CV->FO","2MuBF->Res","dphi^0","lndphi^0",2112.2882547147174,3.067149061248898
"CV->FO","2MuCt->Res","dphi^0","lndphi^0",2087.581826088124,3.0463816629303553
"CV->FO","2MuFac->Res","dphi^0","lndphi^0",2076.7460121137924,3.0517909014262004
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^0",2091.530656376961,2.8780585922317785
"CV->FO","2MuHard->Res","dphi^0","lndphi^0",2076.0132595136683,3.0437122477850176
"CV->FO","2MuSoft->Res","dphi^0","lndphi^0",2094.7440288099388,3.0563225630548128
"CV->FO","2NuBeam->Res","dphi^0","lndphi^0",2087.8246689535185,3.0432193163123435
"CV->FO","2NuSoft->Res","dphi^0","lndphi^0",2087.7686141492677,3.0509283453684017
"0p5MuF->FO","CV->Res","dphi^0","lndphi^0",2061.6919610024024,2.6263876657674383
"0p5MuRF->FO","CV->Res","dphi^0","lndphi^0",2108.7197067507236,5.260618678535344
"0p5MuR->FO","CV->Res","dphi^0","lndphi^0",2129.8774765786848,2.4824546877424236
"2MuF->FO","CV->Res","dphi^0","lndphi^0",2109.059031241593,2.851551105248014
"2MuRF->FO","CV->Res","dphi^0","lndphi^0",2071.448224670767,2.8374206687854957
"2MuR->FO","CV->Res","dphi^0","lndphi^0",2046.9927471206015,2.7641377850049804
"CV->FO","CV->Res","dphi^0","lndphi^0",2087.6292925630833,3.0458991913528033
"CV->FO","0p5C0_np->Res","dphi^0","lndphi^1",-3454.4200953043924,8.11094856803968
"CV->FO","0p5kappa_np->Res","dphi^0","lndphi^1",-3441.1188129269603,8.089258636530246
"CV->FO","0p5MuBeam->Res","dphi^0","lndphi^1",-3309.1550261101884,8.07546219170482
"CV->FO","0p5MuBF->Res","dphi^0","lndphi^1",-3497.018805478009,8.219148594763547
"CV->FO","0p5MuCt->Res","dphi^0","lndphi^1",-3444.8418422150767,8.08887382278968
"CV->FO","0p5MuFac->Res","dphi^0","lndphi^1",-3389.7185449506546,8.076013060651302
"0p5MuFtran->FO","0p5MuFtran->Res","dphi^0","lndphi^1",-3442.739132221392,6.359074010922854
"CV->FO","0p5MuHard->Res","dphi^0","lndphi^1",-3473.9520961741746,8.102069456033826
"CV->FO","0p5MuSoft->Res","dphi^0","lndphi^1",-3442.5240184465797,8.088697762696539
"CV->FO","0p5NuBeam->Res","dphi^0","lndphi^1",-3445.020136822707,8.094150168907104
"CV->FO","0p5NuSoft->Res","dphi^0","lndphi^1",-3445.690958272453,8.08110374767984
"CV->FO","2C0_np->Res","dphi^0","lndphi^1",-3437.11163484426,8.066889492659907
"CV->FO","2kappa_np->Res","dphi^0","lndphi^1",-3448.6271905165086,8.098128243554237
"CV->FO","2MuBeam->Res","dphi^0","lndphi^1",-3445.415795352555,8.098047155652315
"CV->FO","2MuBF->Res","dphi^0","lndphi^1",-3517.517708589955,8.12527618500265
"CV->FO","2MuCt->Res","dphi^0","lndphi^1",-3445.101432492187,8.084801646423292
"CV->FO","2MuFac->Res","dphi^0","lndphi^1",-3399.0919944820753,8.093560464761415
"2MuFtran->FO","2MuFtran->Res","dphi^0","lndphi^1",-3449.2412713919425,7.781558023136162
"CV->FO","2MuHard->Res","dphi^0","lndphi^1",-3414.408177292225,8.078542632817287
"CV->FO","2MuSoft->Res","dphi^0","lndphi^1",-3467.3511566479033,8.105731289919559
"CV->FO","2NuBeam->Res","dphi^0","lndphi^1",-3445.5112513738177,8.07912241237853
"CV->FO","2NuSoft->Res","dphi^0","lndphi^1",-3445.2323079222224,8.09430333615969
"0p5MuF->FO","CV->Res","dphi^0","lndphi^1",-3427.8918057230403,7.22761585962105
