"dist","acc","ScaleFO","ScaleRes","bin_lo","bin_hi","density","uncertainty"
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0,0.0314,6652.601024862761,378.3520759199268
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.0314,0.0628,6150.857651585579,39.851319335481435
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.0628,0.0942,5432.998232194568,26.55495676466695
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.0942,0.1256,4664.429813687341,21.242102040383028
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.1256,0.157,4029.3523918789974,18.156966120569862
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.157,0.1884,3479.8168983477008,16.008957561883392
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.1884,0.2198,3026.006302776376,15.622353043811557
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.2198,0.2512,2682.2319830424726,13.839385544735123
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.2512,0.2826,2344.0970834995023,10.66115494553346
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.2826,0.314,2099.4565873832,10.374873896870131
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.314,0.3454,1856.37598447451,9.424011273847752
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.3454,0.3768,1674.3617419360298,7.613920223182094
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.3768,0.4082,1498.4844108707484,6.573007583327046
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.4082,0.4396,1348.8677293389596,5.85009238763655
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.4396,0.471,1228.2828014899915,5.620029711932244
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.471,0.5024,1110.8017923568068,4.859718316491112
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.5024,0.5338,1004.6709387171334,4.29921717576685
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.5338,0.5652,927.9154770603654,3.7955344670089595
"dphiDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.5652,0.5966,839.5443150965732,5.012162034047429
