dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.0,0.0314,4654.895309131659,3105.6555259336574
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.031400000000000004,0.0628,5854.276380115149,240.61672559703098
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.0628,0.0942,5225.283835233567,93.86156157604984
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.0942,0.1256,4660.052442350679,81.59588468046728
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.12560000000000002,0.157,3976.1849161128284,67.40584109127752
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.157,0.18839999999999998,3386.434674612894,61.17752105863772
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.1884,0.2198,2947.191504095959,54.346466099529906
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.2198,0.2512,2793.8119366955516,88.2380340770668
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.25120000000000003,0.2826,2209.2237838263727,87.12747866686146
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.2826,0.314,2092.2929761439664,38.40176777550138
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.314,0.3454,1818.4316655937812,40.1771311821697
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.3454,0.37679999999999997,1700.2782361400814,33.785573614583576
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.3768,0.4082,1541.2829523029418,34.13437819027017
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.4082,0.4396,1325.574601224193,29.511964302789384
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.4396,0.471,1242.4296135227246,27.764905427711515
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.47100000000000003,0.5024000000000001,1116.4802523882406,36.51730711249396
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5024,0.5338,1029.2921929970942,35.59332452708547
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5337999999999999,0.5652,979.5670169985189,28.370932717635544
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5651999999999999,0.5966,857.9409883294467,23.38014840989596
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5965999999999999,0.628,816.2959928085426,22.067270801460236
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.628,0.6594000000000001,739.1202642147379,25.532031386577888
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.6594,0.6908000000000001,687.5381156325479,25.696514572688454
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.6908,0.7222000000000001,643.0837838550573,20.10887662023351
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.7222,0.7536,605.732763575187,16.4422576532513
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.7535999999999999,0.785,565.5210847463715,16.048827660344383
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.7849999999999999,0.8164,501.25246755907517,20.58066809094511
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.8163999999999999,0.8478,516.8194793614607,19.430590250895
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.8478,0.8792000000000001,430.87406222320976,14.923167236081062
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.8792,0.9106000000000001,422.9723042706016,14.457369129321624
dphiDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.9106,0.9420000000000001,426.55239783953493,13.250948910802892
