"dist","acc","ScaleFO","ScaleRes","bin_lo","bin_hi","density","uncertainty"
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0,0.01,1854.0011072747857,771.3520221429754
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.01,0.02,6106.866478592594,79.69962859454542
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.02,0.03,8523.86281557159,63.856858951314464
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.03,0.04,9679.748391652898,62.45235127141811
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.04,0.05,9919.090451614751,64.34793066719858
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.05,0.06,9799.086746392864,68.99214890924245
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.06,0.07,9412.197433010628,71.75138803402805
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.07,0.08,8821.34040440309,75.09472362755768
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.08,0.09,8328.71951678855,69.68749339800735
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.09,0.1,7809.265323614711,64.5689645429199
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.1,0.11,7270.140814682226,71.19754098703716
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.11,0.12,6828.137587362448,67.46042462072965
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.12,0.13,6431.94386116069,67.16143892642685
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.13,0.14,5932.039323408185,62.977478278579014
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.14,0.15,5611.6852673314925,57.67002441164345
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.15,0.16,5212.851573518462,51.56649387647132
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.16,0.17,4910.735618058795,48.87130957551244
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.17,0.18,4553.282140808583,44.70504539327569
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.18,0.19,4256.608136234683,28.81285178036469
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.19,0.2,3959.7266424349136,35.09600397834826
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.2,0.21,3700.0792078474747,28.59384379728438
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.21,0.22,3450.5375972810552,22.413127196852813
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.22,0.23,3192.994380190627,16.368221490237474
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.23,0.24,2991.440333016902,13.979625637641472
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.24,0.25,2781.110507560722,11.517595832913974
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.25,0.26,2591.007107280591,8.252830442850152
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.26,0.27,2432.5894579275014,23.699964197857042
"rTDist","N2LL'+N2LO","CV->FO","0p5C0_np->Res",0.27,0.28,2308.6517052429563,23.490743506417733
