dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.0,0.01,-3894.768067876088,9698.788744425558
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.009999999999999998,0.02,5534.080797960918,620.1289168340684
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.02,0.030000000000000002,8203.961876134084,622.0888091845486
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.030000000000000002,0.04,9106.79581363993,909.709715992619
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.04,0.049999999999999996,10687.859260068437,892.8665698550574
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.05,0.06,8396.200060465655,279.04042992846036
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.060000000000000005,0.07,8889.790590392082,249.50710316097806
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.06999999999999999,0.08,8542.724822164913,202.7285393499497
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.08,0.09000000000000001,7985.843680875547,181.42924104182904
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.09,0.1,7488.497291412848,188.55085097713064
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.09999999999999999,0.11,7031.552921827778,183.77892938148844
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.11,0.12000000000000001,6827.757970721538,182.6755748638478
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.12,0.13,6110.663399490017,178.38646718013507
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.13,0.14,5658.762071517136,158.70324298178136
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.13999999999999999,0.15,5601.090854978253,139.37838211431898
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.15,0.16,4969.42263810276,138.48057738549025
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.16,0.17,5062.100277995806,116.21092800397105
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.16999999999999998,0.18,4424.038832992988,119.74236118226253
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.18,0.19,4076.465766274247,109.34406442079312
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.19,0.2,4067.4976677569107,92.29734045726954
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.19999999999999998,0.21,3719.6784375473085,82.19445328119033
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.21,0.22,3526.7061969077317,81.56587932756811
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.22,0.23,3290.793445986034,68.64932980173654
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.22999999999999998,0.24,3014.730542683091,64.57939257797244
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.24,0.25,2979.971354027226,68.37773466823587
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.25,0.26,2588.6595056683045,66.95332654878558
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.26,0.27,2564.030425583209,73.37073356802108
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.27,0.28,2350.7765455435083,99.72797922290347
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.27999999999999997,0.29,2153.750647619025,98.5411891729447
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.29,0.3,2107.69111990452,67.14674083151453
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.3,0.31,2091.057,57.62849641354179
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.31,0.32,1895.895,62.931727716338756
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.32,0.33,1922.3339999999998,84.62873141135285
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.33,0.34,1577.3809999999999,84.46425569765296
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.33999999999999997,0.35,1597.5970000000007,60.909343018062536
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.35,0.36,1569.7,53.79936182019262
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.36,0.37,1278.4560000000001,171.25519078463725
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.37,0.38,1607.781,171.80017397807373
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.38,0.39,1240.123,72.39527461495882
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.39,0.4,1338.861,69.9482898539664
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.4,0.41000000000000003,1228.3150000000003,52.61086675296656
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.41,0.42,1141.5850000000003,47.76949840525855
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.42,0.43,1102.548,49.174069912124416
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.43,0.44,1035.4074999999998,45.45964733735843
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.44,0.45,985.3128,47.36187986370578
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.45,0.46,1005.2772,47.46018952416962
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.46,0.47000000000000003,838.2587000000004,45.00065318391947
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.47,0.48,911.9742,39.75556669379648
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.48,0.49,864.2886999999998,46.81216429522566
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.49,0.5,761.9549,40.64091162776125
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5,0.51,787.9508000000001,33.029670789942784
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.51,0.52,755.2156999999999,34.725062694709415
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.52,0.53,726.2734999999999,50.94573894721324
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.53,0.54,722.1890999999998,50.38549955828959
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.54,0.55,683.8354,34.66865810857697
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.55,0.56,583.7202,36.43580131347875
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.5599999999999999,0.57,565.7744000000004,27.995908122615017
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.57,0.58,562.3696,31.71030987840232
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.58,0.59,576.2428,30.30949867948495
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.59,0.6,510.97699999999986,30.327789455464767
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.6,0.61,580.2185,66.91367435737556
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.61,0.62,462.06170000000003,66.28655008109035
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.62,0.63,451.6544,33.07210811761777
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.63,0.64,436.9914999999999,35.13027704909399
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.64,0.65,442.5887000000001,29.880356103480427
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.65,0.66,423.3797,59.85668022097951
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.66,0.67,424.5865,59.034790106073046
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.67,0.68,391.11179999999996,24.771141075675136
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.68,0.6900000000000001,382.82940000000025,27.57764185865972
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.69,0.7,397.7951,26.533311351559572
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.7,0.71,297.7797,32.83301206410554
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.71,0.72,362.46889999999996,29.313999059756416
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.72,0.73,375.5711999999999,37.732236892442515
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.73,0.74,376.8019,77.15492050435797
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.74,0.75,227.40659999999997,77.29702281540604
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.75,0.76,254.10039999999998,41.11058108809094
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.76,0.77,358.6395999999999,40.12435886685418
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.77,0.78,241.71029999999988,23.980909109810664
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.78,0.79,299.2194999999999,21.750371784882205
rTDist,N3LL'+N3LO,CV->FO,0p5C0_np->Res,0.79,0.8,245.56859999999998,30.168990855553986
rTDist,N3LL'+N3LO,CV->FO,0p5kappa_np->Res,0.0,0.01,-3996.2448740559016,9698.794176546318
rTDist,N3LL'+N3LO,CV->FO,0p5kappa_np->Res,0.009999999999999998,0.02,5320.97985796764,620.3670698396317
rTDist,N3LL'+N3LO,CV->FO,0p5kappa_np->Res,0.02,0.030000000000000002,8043.218325129197,622.7274256746821
